"instance_name","ORIGINAL_status","ORIGINAL_best","ORIGINAL_elapsed_s","ORIGINAL_vars","SN-both-none_status","SN-both-none_best","SN-both-none_elapsed_s","SN-both-none_vars","SN-both-ss_status","SN-both-ss_best","SN-both-ss_elapsed_s","SN-both-ss_vars","SN-none-ss_status","SN-none-ss_best","SN-none-ss_elapsed_s","SN-none-ss_vars","TOT-both-none_status","TOT-both-none_best","TOT-both-none_elapsed_s","TOT-both-none_vars","TOT-both-ss_status","TOT-both-ss_best","TOT-both-ss_elapsed_s","TOT-both-ss_vars","TOT-none-none_status","TOT-none-none_best","TOT-none-none_elapsed_s","TOT-none-none_vars","TOT-none-ss_status","TOT-none-ss_best","TOT-none-ss_elapsed_s","TOT-none-ss_vars"
"instance_30_10_5_15","UNSATISFIABLE","","0,159","0","UNSATISFIABLE","","0,195","0","UNSATISFIABLE","","0,228","0","UNSATISFIABLE","","0,184","0","UNSATISFIABLE","","0,153","0","UNSATISFIABLE","","0,155","0","UNSATISFIABLE","","0,13","0","UNSATISFIABLE","","0,134","0"
"instance_30_10_5_16","OPTIMUM","489","45,237","24354","OPTIMUM","489","34,841","34265","OPTIMUM","489","34,512","34265","OPTIMUM","489","36,853","24354","OPTIMUM","489","34,847","12720","OPTIMUM","489","36,051","12720","OPTIMUM","489","36,25","8284","OPTIMUM","489","34,249","8284"
"instance_30_10_5_17","OPTIMUM","492","31,078","15288","OPTIMUM","492","34,138","25434","OPTIMUM","492","37,218","25439","OPTIMUM","492","34,004","15816","OPTIMUM","492","27,121","10934","OPTIMUM","492","37,435","10939","OPTIMUM","492","22,013","6294","OPTIMUM","492","34,174","6822"
"instance_30_10_5_18","OPTIMUM","519","27,777","23695","OPTIMUM","519","29,58","34003","OPTIMUM","519","25,711","34003","OPTIMUM","519","26,002","24216","OPTIMUM","519","28,483","13239","OPTIMUM","519","31,114","13239","OPTIMUM","519","25,526","8502","OPTIMUM","519","22,703","9023"
"instance_30_10_5_19","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,081","0","UNSATISFIABLE","","0,082","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,068","0","UNSATISFIABLE","","0,079","0","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,053","0"
"instance_30_10_5_2","UNSATISFIABLE","","0,101","0","UNSATISFIABLE","","0,154","0","UNSATISFIABLE","","0,155","0","UNSATISFIABLE","","0,115","0","UNSATISFIABLE","","0,121","0","UNSATISFIABLE","","0,124","0","UNSATISFIABLE","","0,091","0","UNSATISFIABLE","","0,087","0"
"instance_30_10_5_20","UNSATISFIABLE","","0,103","0","UNSATISFIABLE","","0,147","0","UNSATISFIABLE","","0,149","0","UNSATISFIABLE","","0,117","0","UNSATISFIABLE","","0,129","0","UNSATISFIABLE","","0,128","0","UNSATISFIABLE","","0,104","0","UNSATISFIABLE","","0,109","0"
"instance_30_10_5_21","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,082","0","UNSATISFIABLE","","0,085","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,081","0","UNSATISFIABLE","","0,082","0","UNSATISFIABLE","","0,053","0","UNSATISFIABLE","","0,056","0"
"instance_30_10_5_22","OPTIMUM","497","23,078","21803","OPTIMUM","497","23,797","31349","OPTIMUM","497","24,215","31357","OPTIMUM","497","22,36","22317","OPTIMUM","497","19,79","12448","OPTIMUM","497","21,914","12456","OPTIMUM","497","18,88","7886","OPTIMUM","497","20,107","8400"
"instance_30_10_5_23","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,067","0","UNSATISFIABLE","","0,068","0","UNSATISFIABLE","","0,054","0","UNSATISFIABLE","","0,059","0","UNSATISFIABLE","","0,06","0","UNSATISFIABLE","","0,052","0","UNSATISFIABLE","","0,053","0"
"instance_30_10_5_24","UNSATISFIABLE","","0,082","0","UNSATISFIABLE","","0,123","0","UNSATISFIABLE","","0,125","0","UNSATISFIABLE","","0,085","0","UNSATISFIABLE","","0,101","0","UNSATISFIABLE","","0,113","0","UNSATISFIABLE","","0,075","0","UNSATISFIABLE","","0,076","0"
"instance_30_10_5_25","UNSATISFIABLE","","0,08","0","UNSATISFIABLE","","0,097","0","UNSATISFIABLE","","0,106","0","UNSATISFIABLE","","0,085","0","UNSATISFIABLE","","0,095","0","UNSATISFIABLE","","0,096","0","UNSATISFIABLE","","0,084","0","UNSATISFIABLE","","0,087","0"
"instance_30_10_5_26","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,058","0","UNSATISFIABLE","","0,061","0","UNSATISFIABLE","","0,051","0","UNSATISFIABLE","","0,058","0","UNSATISFIABLE","","0,059","0","UNSATISFIABLE","","0,049","0","UNSATISFIABLE","","0,052","0"
"instance_30_10_5_27","UNSATISFIABLE","","0,091","0","UNSATISFIABLE","","0,123","0","UNSATISFIABLE","","0,124","0","UNSATISFIABLE","","0,085","0","UNSATISFIABLE","","0,112","0","UNSATISFIABLE","","0,111","0","UNSATISFIABLE","","0,073","0","UNSATISFIABLE","","0,084","0"
"instance_30_10_5_28","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,068","0","UNSATISFIABLE","","0,077","0","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,061","0","UNSATISFIABLE","","0,061","0","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,053","0"
"instance_30_10_5_29","UNSATISFIABLE","","0,047","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,058","0","UNSATISFIABLE","","0,05","0","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,057","0","UNSATISFIABLE","","0,048","0","UNSATISFIABLE","","0,051","0"
"instance_30_10_5_3","OPTIMUM","479","25,497","21299","OPTIMUM","479","20,41","31423","OPTIMUM","479","21,563","31423","OPTIMUM","479","27,1","21813","OPTIMUM","479","17,118","12628","OPTIMUM","479","23,777","12628","OPTIMUM","479","12,851","8051","OPTIMUM","479","18,217","8565"
"instance_30_10_5_30","UNSATISFIABLE","","0,055","0","UNSATISFIABLE","","0,084","0","UNSATISFIABLE","","0,085","0","UNSATISFIABLE","","0,056","0","UNSATISFIABLE","","0,081","0","UNSATISFIABLE","","0,071","0","UNSATISFIABLE","","0,054","0","UNSATISFIABLE","","0,055","0"
"instance_30_10_5_31","OPTIMUM","517","21,884","16619","OPTIMUM","517","18,11","26208","OPTIMUM","517","20,975","26212","OPTIMUM","517","14,595","17128","OPTIMUM","517","18,962","10612","OPTIMUM","517","18,604","10616","OPTIMUM","517","19,267","6179","OPTIMUM","517","18,43","6688"
"instance_30_10_5_32","OPTIMUM","550","31,547","21243","OPTIMUM","550","32,49","30990","OPTIMUM","550","36,941","31000","OPTIMUM","550","25,681","21761","OPTIMUM","550","27,854","12494","OPTIMUM","550","21,756","12504","OPTIMUM","550","24,527","8084","OPTIMUM","550","24,232","8602"
"instance_30_10_5_33","OPTIMUM","553","17,702","28821","OPTIMUM","553","18,788","38925","OPTIMUM","553","17,188","38943","OPTIMUM","553","23,74","28839","OPTIMUM","553","23,4","14420","OPTIMUM","553","34,857","14438","OPTIMUM","553","28,529","9761","OPTIMUM","553","27,035","9779"
