"","cfg_id","label","cardinality","ic","sb","total_runs","optimum_n","timeout_n","unsat_n","error_n","optimum_pct","mean_elapsed_s","median_elapsed_s","par2_s","mean_solve_s","mean_variables","mean_hard_clauses","mean_soft_clauses","mean_best_value","mean_similarity","mean_continuity","mean_overtime","std_best_value"
"","2","SN-none-ss","sorting-network","none","slot-service","50","9","8","33","0","18","60,1808","51,1874","5914,8325","60,1223","29585,7778","111326,2222","2240,8889","677,6667","685,2222","7,5556","0","34,7851"
"","3","SN-both-none","sorting-network","both","none","50","10","7","33","0","20","91,2216","67,2815","5778,2443","91,1358","44092,1","155630,8","2237,5","677,4","685,2","7,6","0,2","32,8065"
"","4","SN-both-ss","sorting-network","both","slot-service","50","10","7","33","0","20","86,5439","61,4791","5777,3088","86,4569","44096,7","155651,6","2237,5","677,4","685,2","7,6","0,2","32,8065"
"","5","TOT-none-none","totalizer","none","none","50","10","7","33","0","20","68,1887","52,3622","5773,6377","68,1176","10526,1","139102,9","2257,5","680,9","689,5","8,1","0,5","34,3526"
"","6","TOT-none-ss","totalizer","none","slot-service","50","10","7","33","0","20","70,3451","50,2265","5774,069","70,2722","10952,9","140927,2","2257,5","680,9","688,7","7,8","0","34,3526"
"","7","TOT-both-none","totalizer","both","none","50","10","7","33","0","20","87,0213","48,2056","5777,4043","86,9339","16911,5","172752,8","2237,5","677,4","684,9","7,5","0","32,8065"
"","8","TOT-both-ss","totalizer","both","slot-service","50","10","7","33","0","20","81,1814","48,4804","5776,2363","81,0926","17006,6","174118,3","2257,5","680,9","689","7,9","0,2","34,3526"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_15_4","1","ORIGINAL","sorting-network","none","none","100","53","7","40","0","53","39,7813","33,4984","3405,0841","39,7117","28853,7358","110105,5849","2470,2264","561,9245","568,283","6,0755","0,283","27,8912"
"","2","SN-none-ss","sorting-network","none","slot-service","100","53","7","40","0","53","36,7075","31,6585","3403,455","36,6355","29228,8302","111929,0566","2470,2264","561,9245","568,2642","6,1887","0,1509","27,8912"
"","3","SN-both-none","sorting-network","both","none","100","53","7","40","0","53","40,2021","36,2205","3405,3071","40,1111","39262,3774","142083,8113","2470,2264","561,9245","568,1509","5,9811","0,2453","27,8912"
"","4","SN-both-ss","sorting-network","both","slot-service","100","52","8","40","0","52","39,4669","34,8102","3476,5228","39,3749","39353,7692","142539,7692","2482,25","562,4808","568,6154","5,8846","0,25","27,8649"
"","5","TOT-none-none","totalizer","none","none","100","54","6","40","0","54","35,5085","29,2207","3331,1746","35,4326","10415,0556","124052,8519","2458,2963","561,4444","567,8148","6,1852","0,1852","27,8511"
"","6","TOT-none-ss","totalizer","none","slot-service","100","53","7","40","0","53","35,6219","31,1141","3402,8796","35,5432","10838,9623","126556,1509","2470,2264","561,9245","568,3396","6,2075","0,2075","27,8912"
"","7","TOT-both-none","totalizer","both","none","100","53","7","40","0","53","35,7268","30,6225","3402,9352","35,6327","15302,0377","149386,9434","2470,2264","561,9245","568,0566","5,9811","0,1509","27,8912"
"","8","TOT-both-ss","totalizer","both","slot-service","100","53","7","40","0","53","37,2666","32,8872","3403,7513","37,1721","15298,0377","149220","2469,8679","561,9811","568,3774","6,2075","0,1887","27,8343"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_15_5","1","ORIGINAL","sorting-network","none","none","100","42","12","46","0","42","61,2639","50,3084","4201,731","61,1836","39837,33","153430,8","3039,095","707,1429","715,0714","7,8333","0,0952","32,151"
"","2","SN-none-ss","sorting-network","none","slot-service","100","42","12","46","0","42","62,3439","50,7018","4202,185","62,2638","39657,4","152940,1","3008,548","704,3095","712,1905","7,881","0","35,3522"
"","3","SN-both-none","sorting-network","both","none","100","42","12","46","0","42","71,2135","57,4645","4205,91","71,1147","53382,36","193874","2980,238","702,3571","710,4524","8,0476","0,0476","34,6282"
"","4","SN-both-ss","sorting-network","both","slot-service","100","43","11","46","0","43","75,354","60,8546","4136,402","75,2535","53749,7","195474,4","2989,907","703,6279","711,4884","7,7674","0,093","35,2136"
"","5","TOT-none-none","totalizer","none","none","100","44","10","46","0","44","59,2913","45,1387","4058,088","59,1962","13624,48","186953,5","3003,705","704,9773","713,4091","8,2727","0,1591","34,7131"
"","6","TOT-none-ss","totalizer","none","slot-service","100","44","10","46","0","44","63,9003","49,7656","4060,116","63,8031","13983","188771,4","3003,705","704,9773","712,75","7,7273","0,0455","34,7131"
"","7","TOT-both-none","totalizer","both","none","100","43","11","46","0","43","68,4612","51,2038","4133,438","68,3514","19913,67","220129,1","2989,907","703,6279","711,3953","7,7674","0","35,2136"
"","8","TOT-both-ss","totalizer","both","slot-service","100","43","11","46","0","43","62,4527","50,881","4130,855","62,3409","19945,49","220487,5","2994,558","704,4419","712,3721","7,8605","0,0698","34,9396"
"","","","","","","","","","","","","","","","","","","","","","","",""
"40_20_4","1","ORIGINAL","sorting-network","none","none","150","101","8","41","0","67,3","38,3865","34,0037","2377,847","38,3023","34411,72","137990,9","3000,97","579,2574","584,3564","4,9505","0,1485","29,5034"
"","2","SN-none-ss","sorting-network","none","slot-service","150","101","8","41","0","67,3","36,4885","33,6174","2376,569","36,4022","34765,63","139984,5","3000,97","579,2574","584,4653","5,1287","0,0792","29,5034"
"","3","SN-both-none","sorting-network","both","none","150","101","8","41","0","67,3","39,7195","36,3328","2378,745","39,6173","44640,67","169882,3","3000,97","579,2574","584,2079","4,8218","0,1287","29,5034"
