instance,instance_sha256,method,maxsat_configuration,maxsat_status,gurobi_status,cplex_status,commercial_status_agreement,commercial_objective_agreement_when_optimal,maxsat_status_agreement_when_decided,maxsat_objective_agreement_when_optimal,maxsat_elapsed_seconds,gurobi_elapsed_seconds,cplex_elapsed_seconds,cplex_over_gurobi_runtime
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_2.txt,a5fd07405bd2138e224fcff99971af5c8fb458055ce1f5659f97abe4d7cf6567,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,30.83345659,0.099743077,0.172543267,1.7298771221986664
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_1.txt,ad55cb5a53e14a0fa0f8fabb34d5deca8de3e2646554190b8544a3514eecf69f,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,195.0766395,0.378648108,0.798880994,2.1098243385386204
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_5_1.txt,ad55cb5a53e14a0fa0f8fabb34d5deca8de3e2646554190b8544a3514eecf69f,weighted,totalizer-none-none,TIMEOUT_FEASIBLE,OPTIMUM,OPTIMUM,True,True,,,3600.073973,0.281179148,0.472148896,1.6791746449135694
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_5_2.txt,afda64c6a4d16f0aab56c95960d2776bb1347a6b3d1e106ef997406dfabb7f64,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,107.9531239,0.260339326,0.469966925,1.8052091177342913
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_25_5_2.txt,afda64c6a4d16f0aab56c95960d2776bb1347a6b3d1e106ef997406dfabb7f64,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,32.96612764,0.091228953,0.149842675,1.6424903506236666
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_4_3.txt,b7330396c1f4fb91992463c1b9a718b516add470900d3da1c8fcdecd47cd2351,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,76.84333711,0.169565765,0.27416438,1.6168616347763358
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_15_4_3.txt,b7330396c1f4fb91992463c1b9a718b516add470900d3da1c8fcdecd47cd2351,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,17.759821,0.056302636,0.08856885,1.573085317000078
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_4_3.txt,c7f907d0a16d86cf532538aaccb5b409cb1f54b68c619425264e5770f92cf9d5,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,104.511235,0.284315761,0.529332238,1.861775921736537
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_20_4_3.txt,c7f907d0a16d86cf532538aaccb5b409cb1f54b68c619425264e5770f92cf9d5,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,34.43875645,0.091747706,0.131302827,1.4311292644199738
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_1.txt,cd394004a7efe69c90a3a874859e5ee6d6e07ba5f0f1492e6a72f749c3e07231,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,79.05082521,0.137460987,0.243233056,1.7694697332560254
instances/paperInstances/TXT_10-25_4-5_U30/instance_30_10_5_1.txt,cd394004a7efe69c90a3a874859e5ee6d6e07ba5f0f1492e6a72f749c3e07231,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,16.440534,0.05987433,0.08084339,1.3502178646508445
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_3.txt,d31d5ebd793f9506703adf88bb1487f27f39f7dae72343efbed4ef3ba17d6c70,lex-cos,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,132.1284934,0.267945298,0.499389938,1.8637757099212093
instances/paperInstances/TXT_10-25_4-5_U40/instance_40_25_4_3.txt,d31d5ebd793f9506703adf88bb1487f27f39f7dae72343efbed4ef3ba17d6c70,weighted,totalizer-none-none,OPTIMUM,OPTIMUM,OPTIMUM,True,True,True,True,38.38675393,0.086821522,0.136867019,1.57641810287546
