instance_sha256,backend,wc,wo,instance,slack_from,slack_to,overtime_reduction,similarity_change
68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,1,2,0,3
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,0,1,0,19
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,1,2,0,9
7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,0,1,0,5
7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,1,2,0,1
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,0,1,0,17
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,1,2,0,11
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,0,1,0,12
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,1,2,0,7
935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,0,1,0,6
935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,1,2,0,2
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,0,1,0,10
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,1,2,0,7
9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,0,1,0,6
9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,1,2,0,3
addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,0,1,0,6
addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,1,2,0,2
