instance_sha256,backend,wc,wo,instance,slack,status,continuity_reference,continuity,overtime,similarity
65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,0,OPTIMUM,0,0,0,498
65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,1,OPTIMUM,0,1,0,506
65de3dfdc16f9c773e9874c2357071bf31732b49485a995a839ed1f4d259a558,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1003_critical.txt,2,OPTIMUM,0,2,0,510
68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,0,OPTIMUM,0,0,0,415
68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,1,OPTIMUM,0,1,0,418
68e2b74d850c1069e78bc56681e6d252a2a8df6699aceb2e6aaffeff722beca0,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v4_seed1003_critical.txt,2,OPTIMUM,0,2,0,421
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,0,OPTIMUM,1,1,0,673
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,1,OPTIMUM,1,2,0,692
6a86d9e04419d5434a8ac83437d7b4c9067045575a2a45a9a29888e5d862b401,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a25_v5_seed1002_critical.txt,2,OPTIMUM,1,3,0,701
7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,0,OPTIMUM,0,0,0,419
7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,1,OPTIMUM,0,1,0,424
7a04660fc90733bd70c078b57f1458a7d6d3407d9182f01d456779938bbe7cac,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a25_v4_seed1001_critical.txt,2,OPTIMUM,0,2,0,425
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,0,OPTIMUM,2,2,0,491
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,1,OPTIMUM,2,3,0,508
89692a0adfe31e70296f9df2d93729e2d0d78b4a72a9014431a8e164a2608768,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u30_a20_v5_seed1002_critical.txt,2,OPTIMUM,2,4,0,519
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,0,OPTIMUM,1,1,0,529
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,1,OPTIMUM,1,2,0,541
8fe397ee776a8cfb744bb77da0e91099c029a4cc2c05d5c45c831bea9ff5aa62,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v4_seed1002_critical.txt,2,OPTIMUM,1,3,0,548
935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,0,OPTIMUM,0,0,0,571
935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,1,OPTIMUM,0,1,0,577
935abeb825bf65f5eb6f564d142868752b8f09cc140daeead539a193eee52b75,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v4_seed1001_critical.txt,2,OPTIMUM,0,2,0,579
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,0,OPTIMUM,3,3,0,523
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,1,OPTIMUM,3,4,0,533
93e26e12184989f851e4f91e33046006e375b0bdc1069591b75e6f5d66e9d66b,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a10_v4_seed1002_critical.txt,2,OPTIMUM,3,5,0,540
9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,0,OPTIMUM,0,0,0,715
9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,1,OPTIMUM,0,1,0,721
9b4ded7517693f18fc14c67224a40507d9d4088119616e90b89f0bbcadb2445d,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1001_critical.txt,2,OPTIMUM,0,2,0,724
addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,0,OPTIMUM,0,0,0,712
addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,1,OPTIMUM,0,1,0,718
addefcd65569a464f6ade877201060bec8b3edf54c9784bd4a2ce47e7fa65a0a,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a15_v5_seed1001_critical.txt,2,OPTIMUM,0,2,0,720
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,0,OPTIMUM,1,1,0,659
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,1,OPTIMUM,1,2,0,679
aee0a6b7ec9777049ee75f53a345d8b1b5d4d3de33e8d3f6c9559f510624b169,gurobi-mip,1,1,instances/corrected_v2_reduced_suite/evaluation_critical/evaluation/critical/instance_u40_a20_v5_seed1002_critical.txt,2,OPTIMUM,1,3,0,688
